
@relation poke

@attribute nr       numeric
@attribute name     string
@attribute type-1   {Normal,Water,Fire,Grass,Poison,Flying,Fighting,Ground,Rock,Fairy,Steel,Dragon,Bug,Psychic,Ice,Dark,Ghost,Electric}
@attribute type-2   {Normal,Water,Fire,Grass,Poison,Flying,Fighting,Ground,Rock,Fairy,Steel,Dragon,Bug,Psychic,Ice,Dark,Ghost,Electric}
@attribute total    numeric
@attribute hp       numeric
@attribute attack   numeric
@attribute defense  numeric
@attribute sp.atk   numeric
@attribute sp.def   numeric
@attribute speed    numeric
@attribute color    {Red,Blue,Yellow,Green,Black,Brown,Purple,Gray,White,Pink}

@data
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,Green
287,Slakoth,Normal,?,280,60,60,60,35,35,30,Brown
288,Vigoroth,Normal,?,440,80,80,80,55,55,90,White
289,Slaking,Normal,?,670,150,160,100,95,65,100,Brown
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,Gray
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,Yellow
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,Brown
293,Whismur,Normal,?,240,64,51,23,51,23,28,Pink
294,Loudred,Normal,?,360,84,71,43,71,43,48,Blue
295,Exploud,Normal,?,490,104,91,63,91,73,68,Blue
296,Makuhita,Fighting,?,237,72,60,30,20,30,25,Yellow
297,Hariyama,Fighting,?,474,144,120,60,40,60,50,Brown
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,Blue
299,Nosepass,Rock,?,375,30,45,135,45,90,30,Gray
300,Skitty,Normal,?,260,50,45,45,35,35,50,Pink
301,Delcatty,Normal,?,380,70,65,65,55,55,70,Purple
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,Purple
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,Black
304,Aron,Steel,Rock,330,50,70,100,40,40,30,Gray
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,Gray
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,Gray
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,Blue
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,Red
309,Electrike,Electric,?,295,40,45,40,65,40,65,Green
310,Manectric,Electric,?,475,70,75,60,105,60,105,Yellow
311,Plusle,Electric,?,405,60,50,40,85,75,95,Yellow
312,Minun,Electric,?,405,60,40,50,75,85,95,Yellow
313,Volbeat,Bug,?,400,65,73,55,47,75,85,Gray
314,Illumise,Bug,?,400,65,47,55,73,75,85,Purple
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,Green
316,Gulpin,Poison,?,302,70,43,53,43,53,40,Green
317,Swalot,Poison,?,467,100,73,83,73,83,55,Purple
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,Red
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,Blue
320,Wailmer,Water,?,400,130,70,35,70,35,60,Blue
321,Wailord,Water,?,500,170,90,45,90,45,60,Blue
322,Numel,Fire,Ground,305,60,60,40,65,45,35,Yellow
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,Red
324,Torkoal,Fire,?,470,70,85,140,85,70,20,Brown
325,Spoink,Psychic,?,330,60,25,35,70,80,60,Black
326,Grumpig,Psychic,?,470,80,45,65,90,110,80,Purple
327,Spinda,Normal,?,360,60,60,60,60,60,60,Brown
328,Trapinch,Ground,?,290,45,100,45,45,45,10,Brown
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,Green
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,Green
331,Cacnea,Grass,?,335,50,85,40,85,40,35,Green
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,Green
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,Blue
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,Blue
335,Zangoose,Normal,?,458,73,115,60,60,60,90,White
336,Seviper,Poison,?,458,73,100,60,100,60,65,Black
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,Yellow
338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,Red
339,Barboach,Water,Ground,288,50,48,43,46,41,60,Gray
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,Blue
341,Corphish,Water,?,308,43,80,65,50,35,35,Red
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,Red
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,Brown
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,Black
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,Purple
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,Green
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,Gray
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,Gray
349,Feebas,Water,?,200,20,15,20,10,55,80,Brown
350,Milotic,Water,?,540,95,60,79,100,125,81,Pink
351,Castform,Normal,?,420,70,70,70,70,70,70,White
352,Kecleon,Normal,?,440,60,90,70,60,120,40,Green
353,Shuppet,Ghost,?,295,44,75,35,63,33,45,Black
354,Banette,Ghost,?,455,64,115,65,83,63,65,Black
355,Duskull,Ghost,?,295,20,40,90,30,90,25,Black
356,Dusclops,Ghost,?,455,40,70,130,60,130,25,Black
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,Green
358,Chimecho,Psychic,?,425,65,50,70,95,80,65,Blue
359,Absol,Dark,?,465,65,130,60,75,60,75,White
360,Wynaut,Psychic,?,260,95,23,48,23,48,23,Blue
361,Snorunt,Ice,?,300,50,50,50,50,50,50,Gray
362,Glalie,Ice,?,480,80,80,80,80,80,80,Gray
363,Spheal,Ice,Water,290,70,40,50,55,50,25,Blue
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,Blue
365,Walrein,Ice,Water,530,110,80,90,95,90,65,Blue
366,Clamperl,Water,?,345,35,64,85,74,55,32,Blue
367,Huntail,Water,?,485,55,104,105,94,75,52,Blue
368,Gorebyss,Water,?,485,55,84,105,114,75,52,Pink
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,Gray
370,Luvdisc,Water,?,330,43,30,55,40,65,97,Pink
371,Bagon,Dragon,?,300,45,75,60,40,30,50,Blue
372,Shelgon,Dragon,?,420,65,95,100,60,50,50,White
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,Blue
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,Blue
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,Blue
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,Blue
377,Regirock,Rock,?,580,80,100,200,50,100,50,Brown
378,Regice,Ice,?,580,80,50,100,100,200,50,Blue
379,Registeel,Steel,?,580,80,75,150,75,150,50,Gray
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,Red
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,Blue
382,Kyogre,Water,?,670,100,100,90,150,140,90,Blue
383,Groudon,Ground,?,670,100,150,140,100,90,90,Red
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,Green
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,Yellow
387,Turtwig,Grass,?,318,55,68,64,45,55,31,Green
388,Grotle,Grass,?,405,75,89,85,55,65,36,Green
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,Green
390,Chimchar,Fire,?,309,44,58,44,58,44,61,Brown
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,Brown
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,Brown
393,Piplup,Water,?,314,53,51,53,61,56,40,Blue
394,Prinplup,Water,?,405,64,66,68,81,76,50,Blue
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,Blue
396,Starly,Normal,Flying,245,40,55,30,30,30,60,Brown
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,Brown
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,Brown
399,Bidoof,Normal,?,250,59,45,40,35,40,31,Brown
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,Brown
401,Kricketot,Bug,?,194,37,25,41,25,41,25,Red
402,Kricketune,Bug,?,384,77,85,51,55,51,65,Red
403,Shinx,Electric,?,263,45,65,34,40,34,45,Blue
404,Luxio,Electric,?,363,60,85,49,60,49,60,Blue
405,Luxray,Electric,?,523,80,120,79,95,79,70,Blue
406,Budew,Grass,Poison,280,40,30,35,50,70,55,Green
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,Green
408,Cranidos,Rock,?,350,67,125,40,30,30,58,Blue
409,Rampardos,Rock,?,495,97,165,60,65,50,58,Blue
410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,Gray
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,Gray
412,Burmy,Bug,?,224,40,29,45,29,45,36,Gray
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,Yellow
415,Combee,Bug,Flying,244,30,30,42,30,42,70,Yellow
416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,Yellow
